valor_original,apariciones,propuesta_canonica,nivel,padre,confianza,DUDOSO
Islas Baleares,1,,,,,TRUE
- Francia -,1,Francia,pais,,BAJA,
DOP ARABAKO TXACOLINA,1,,,,,TRUE
"Mendoza, Argentina",1,,,,,TRUE
R Ioja,1,,,,,TRUE
- Rodano -,1,Rhône,region,Francia,BAJA,
PRIORATO,1,,,,,TRUE
Castilla Y Leon,1,Castilla y León,region,,BAJA,
Sanlucar De Barrameda,1,,,,,TRUE
Caiño Tinto S/do,1,,,,,TRUE
Albariño S/do,1,,,,,TRUE
O Bolo (sin D.o.),1,,,,,TRUE
Sanxenxo (sin D.o.),1,,,,,TRUE
Ribeiro S/do,1,,,,,TRUE
Val Do Bibei,1,,,,,TRUE
Peñafiel Valldolid,1,,,,,TRUE
Rimini Sangiovese Superiore Dop,1,,,,,TRUE
Rubicone Sangiovese Igp,1,,,,,TRUE
Rimini Rebola Secco Dop,1,,,,,TRUE
Romagna Sangiovese Superiore Riserva Dop,1,,,,,TRUE
Costa D ́amalfi,1,,,,,TRUE
ALSACE,1,Alsacia,do,Francia,BAJA,
Sierra De Gredos,1,,,,,TRUE
Sancerre (pinot Noir),1,,,,,TRUE
Garnacha,1,,,,,TRUE
Marlborough,1,Marlborough,do,,BAJA,
D.O.Ca. Rioja,1,Rioja,do,,BAJA,
D.O. Rías Baixas,1,Rías Baixas,do,Galicia,BAJA,
Vinho Verde,1,Vinho Verde,do,,BAJA,
D.O.P. El Terrerazo,1,,,,,TRUE
Dao. Portugal,1,,,,,TRUE
Riesling Rubicone Igp,1,,,,,TRUE
Asturias,1,,,,,TRUE
D.O.P. Valle De La Orotava,1,Valle de la Orotava,do,Canarias,BAJA,
Catalunya,1,,,,,TRUE
VERMUT,1,,,,,TRUE
Vermut,1,,,,,TRUE
Laberdolive,1,,,,,TRUE
Sidra,1,,,,,TRUE
GRAPPA,1,,,,,TRUE
