nombre,apariciones,bodega_real
Chº Pavie Macquin20181º G.cru C,1,
Chº Larcis Ducasse20181º G.cru C,1,
Chº Ángelus20171º G.cru C.a,1,
CH. Fonbel2018g. Cru C,1,
Chº Grand-Puy-Lacoste20185º Cru C,1,
Chº Giscours20183º Cru C,1,
Chº Talbot20184º Cru C,1,
CH. Clerc Milon 2018,1,
Pavillon Rouge du Chº Margaux20182º Vino,1,
Carruades de Lafite20182º Vino,1,
Chº Prieure-Lichine20184º Cru C,1,
Baron de Brane20182º Vino,1,
Chº Cos D’ournel20182º Cru C,1,
Chº Léoville Barton20182º Cru C,1,
Chº Calon Ségur20183º Cru C,1,
Chº la Tour de Mons2018c. B,1,
Chº Canon20181º G.cru C,1,
Chº L’evangile 2019,1,
Chº Mouton-Rothschild20181º Cru C,1,
Vieux Chº Certan 2019,1,
Chº Latour20121º Cru C,1,
Chº Pavie Macquin20161º G.cru C,1,
Chº Pavie Macquin20151º G.cru C,1,
Chº Cheval Blanc20181º G.cru C.a,1,
Chº Haut-Brion20181º Cru C,1,
La Chapelle D’ausone20192º Vino,1,
Chº Ausone20191º G.cru C.a,1,
Chº Larcis Ducasse20141º G.cru C,1,
Chº Grand-Puy-Lacoste20195º Cru C,1,
Chº Duhart-Milon20194º Cru C,1,
Chº Calon Ségur20193º Cru C,1,
Chº Montrose20192º Cru C,1,
Chº la Tour de Mons2019c. B,1,
Le Petit Cheval20192º Vino,1,
CH. Clerc Milon 2019,1,
Chº Ducru Beaucaillou20192º Cru C,1,
Le Petit Mouton20192º Vino,1,
Chº Pavie Macquin20191º G.cru C,1,
Chº la Mission Hb Blanc2019c. C,1,
Chº Smith Haut Lafitte2019g. Cru C,1,
Chº Ángelus20201º G.cru C.a,1,
Le Pin 2020,1,
Chº la Mission Haut-Brion2019c. C,1,
Valandraud Blanc 2020,1,
Chº Pavie20201º G.cru C.a,1,
Chº la Conseillante 2020,1,
Chº Phélan Ségur20193º Cru C,1,
Domaine Chevalier Blanc 2019,1,
Chº Rocheyron2020g. Cru,1,
Alter Ego de Palmer20202º Vino,1,
Cos D’ournel Blanc 2020,1,
Carruades de Lafite20202º Vino,1,
Chº Léoville Barton20202º Cru C,1,
Chº Pape Clément2020g. Cru C,1,
Chº Léoville Las Cases20202º Cru C,1,
Le Petit Cheval20202º Vino,1,
Chº Gruaud Larose20202º Cru C,1,
Pavillon Blanc du Chº Margaux 2020,1,
Chº Pavie Macquin20201º G.cru C,1,
Virginie de Valandraud Blanc20202º Vino,1,
Petrus 2020,1,
Chº D’issan20203º Cru C,1,
Chº Smith Haut Lafitte Blanc2020g. Cru C,1,
Chº Martinon 2019,1,
Chº les Carmes Haut-Brion 2020,1,
Chº la Mission Hb Blanc2020c. C,1,
Domaine Chevalier Blanc 2020,1,
Chº Phélan Ségur20203º Cru C,1,
Chº la Tour de Mons2020c. B,1,
Chº Gloria2020c. B,1,
Chº Cordet2017c. B,1,
CH. Clerc Milon 2021,1,
Chº la Conseillante 2021,1,
Chº Pavie20211º G.cru C.a,1,
Chº Ausone20211º G.cru C.a,1,
Blanc de Lynch Bages 2021,1,
Chº Cheval Blanc20211º G.cru C.a,1,
Le Pin 2021,1,
Chº Pavie Macquin20211º G.cru C,1,
Chº Grand-Puy-Lacoste20215º Cru C,1,
Chº L’evangile 2021,1,
Le Petit Cheval20212º Vino,1,
Virginie de Valandraud Blanc20212º Vino,1,
Chº Margaux20211º Cru C,1,
Chº Talbot20214º Cru C,1,
Pavillon Blanc du Chº Margaux 2021,1,
Carruades de Lafite20212º Vino,1,
Chº Beychevelle20214º Cru C,1,
Chº la Mission Hb Blanc2021c. C,1,
Chº Brane-Cantenac20212º Cru C,1,
L’if 2021,1,
Chº Ducru Beaucaillou20212º Cru C,1,
Chº Prieure-Lichine20214º Cru C,1,
Le Clarence de Haut Brion20212º Vino,1,
Chº Gloria2021c. B,1,
Chº Palmer20213º Cru C,1,
Chº Lascombes20212º Cru C,1,
L’esprit de Chevalier Blanc20212º Vino,1,
Les Griffons de Pichon Baron20212º Vino,1,
Chº Giscours20213º Cru C,1,
Le Petit Cheval Blanc 2020,1,
Aile D’argent Blanc 2021,1,
Chº Beau Sejour Becot20211º G.cru C,1,
Chº Canon la Gaffeliere20211º G.cru C,1,
Chº Berliquet2021g. Cru C,1,
Trilogie By Jacques Thienpont - 2021,1,
