valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
CONVENTO SAN FRANCISCO,CONVENTO SAN FRANCISCO,167,13,MEDIA,
SIERRA CANTABRIA,SIERRA CANTABRIA,168,13,MEDIA,
DOMAINE WILLIAM FEVRE,DOMAINE WILLIAM FEVRE,169,13,MEDIA,
DOMAINE H&G BUISSON,DOMAINE H&G BUISSON,170,13,MEDIA,
DOMAINE LA SOUFRANDIÈRE,DOMAINE LA SOUFRANDIÈRE,171,13,MEDIA,
VINCENT PINARD,VINCENT PINARD,172,13,MEDIA,
CHAMPAGNE DE SOUSA,CHAMPAGNE DE SOUSA,173,13,MEDIA,
MARCEL LAPIERRE,MARCEL LAPIERRE,174,13,MEDIA,
RAMÓN BILBAO,RAMÓN BILBAO,175,12,ALTA,
Ramon Bilbao,RAMÓN BILBAO,175,1,ALTA,
CASA CASTILLO,CASA CASTILLO,176,9,ALTA,
Casa Castillo,CASA CASTILLO,176,4,ALTA,
CANTALAPIEDRA,CANTALAPIEDRA,177,7,ALTA,
Cantalapiedra Viticultores,CANTALAPIEDRA,177,6,ALTA,
Mestres Cava,Mestres Cava,178,12,MEDIA,
Bodegas Serdio,Bodegas Serdio,179,12,MEDIA,
ANDRÉ CLOUET,ANDRÉ CLOUET,180,12,MEDIA,
BODEGA IZADI,BODEGA IZADI,181,12,MEDIA,
Cascina Luisin Barbaresco,Cascina Luisin Barbaresco,182,12,MEDIA,
Bodegas Calvente,Bodegas Calvente,183,12,MEDIA,
Soto Manrique,Soto Manrique,184,12,MEDIA,
DOMAINE JACQUES PRIEUR,DOMAINE JACQUES PRIEUR,185,12,MEDIA,
OXER,OXER,186,12,MEDIA,
PASQUA,PASQUA,187,12,MEDIA,
BODEGA ARTAZU,BODEGA ARTAZU,188,12,MEDIA,
DOMINIO DO BIBEI,DOMINIO DO BIBEI,189,12,MEDIA,
VERONICA ORTEGA,VERONICA ORTEGA,190,12,MEDIA,
VIÑA IJALBA,VIÑA IJALBA,191,12,MEDIA,
D. E. DEFAIX,D. E. DEFAIX,192,12,MEDIA,
SANDRONE LUCIANO,SANDRONE LUCIANO,193,12,MEDIA,
ALESSANDRIA,ALESSANDRIA,194,12,MEDIA,
Anna Jørgensen - Cortes de Cima,Anna Jørgensen - Cortes de Cima,195,12,MEDIA,
Tempos Vega Sicilia - Oremus,Tempos Vega Sicilia - Oremus,196,12,MEDIA,
GULFI,GULFI,197,12,MEDIA,
GIOV.ROSSO,GIOV.ROSSO,198,12,MEDIA,
DOMAINE GUY AMIOT & FILS,DOMAINE GUY AMIOT & FILS,199,12,MEDIA,
DOMAINE PARIGOT,DOMAINE PARIGOT,200,12,MEDIA,
Artuke,Artuke,201,9,ALTA,
ARTUKE,Artuke,201,3,ALTA,
LOS AGUILARES,LOS AGUILARES,202,11,MEDIA,
MONTEBACO,MONTEBACO,203,11,MEDIA,
DOMAINE LA BARROCHE,DOMAINE LA BARROCHE,204,11,MEDIA,
Luis Seabra Douro,Luis Seabra Douro,205,11,MEDIA,
Le Grappin Bourgogne,Le Grappin Bourgogne,206,11,MEDIA,
EGLY OURIET,EGLY OURIET,207,11,MEDIA,
AT ROCA,AT ROCA,208,11,MEDIA,
VIÑA BUJANDA,VIÑA BUJANDA,209,11,MEDIA,
Le Grain du Vin - Mélanie & Vincent Zuber,Le Grain du Vin - Mélanie & Vincent Zuber,210,11,MEDIA,
AMISFIELD,AMISFIELD,211,11,MEDIA,
ANTONIO BARBADILLO,ANTONIO BARBADILLO,212,11,MEDIA,
